fecha_entrada_en_vigencia,sueldo_minimo
2009-07-01,165000
2010-07-01,172000
2011-07-01,182000
2012-07-01,193000
2013-08-01,210000
2014-07-01,225000
2015-07-01,241000
2016-01-01,250000
2016-07-01,257500
2017-01-01,264000
2017-07-01,270000
2018-01-01,276000
2018-09-01,288000
2019-03-01,301000
2020-03-01,320500
2020-09-01,326500
2021-05-01,337000
2022-01-01,350000
2022-05-01,380000
2022-08-01,400000
2023-01-01,410000
2023-05-01,440000
2023-09-01,460000
2024-07-01,500000
2025-01-01,510636
2025-05-01,529000
2026-01-01,539000
